% Model:              2D axissymmetric.mph
% Version:            COMSOL 6.0.0.312
% Date:               Jan 18 2022, 16:54
% Dimension:          2
% Nodes:              6834
% Expressions:        7
% Description:        Dependent variable T
% Length unit:        m
% R                       Z                        T (degC) @ t=1           T (degC) @ t=2           T (degC) @ t=3           T (degC) @ t=4           T (degC) @ t=5           T (degC) @ t=10          T (degC) @ t=20
0.25                      0                        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001
0.5000000000010827        0                        25.799999722009943       25.800007916327957       25.80000013021663        25.79999999999478        25.800000000002285       25.800000000002854       25.79999999999825
0.25                      2                        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001
0.5000000000008663        1.9999999999999996       25.79999972199272        25.800007916369907       25.800000130206456       25.79999999998563        25.79999999999427        25.799999999993247       25.7999999999941
0.25                      4                        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001
0.5000000000006497        3.9999999999999987       25.799999721868176       25.800007915923743       25.800000130128524       25.79999999991975        25.799999999934926       25.79999999995249        25.799999999963404
0.8000000000008276        0                        25.799999157207196       25.80001558215025        25.800000378640334       25.799999999975          25.80000000000615        25.800000000004275       25.799999999991257
0.800000000000662         2                        25.79999915713188        25.800015581928847       25.800000378594746       25.79999999993572        25.799999999970566       25.79999999997989        25.799999999973693
0.25                      6.000000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001
0.5000000000004331        6.000000000000001        25.799999721122845       25.800007914080766       25.800000129655928       25.799999999519173       25.799999999574652       25.799999999699253       25.799999999777526
1.1000000000005725        0                        25.799998807886197       25.800000725258258       25.80000062939655        25.800000000009106       25.799999999778777       25.79999999997642        25.79999999996511
1.1000000000004577        1.9999999999999996       25.79999880758868        25.800000725136613       25.800000629215845       25.79999999985307        25.799999999638146       25.799999999881265       25.799999999893373
0.25                      8.000000000000002        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001        25.80000000000001
0.5000000000002166        8                        25.799999716592993       25.800007901803212       25.80000012673736        25.79999999706672        25.799999997367877       25.79999999810724        25.79999999863162
1.4000000000003174        0                        25.799998573541757       25.800162687604825       25.800000916152385       25.799999999848637       25.79999999978247        25.79999999991577        25.79999999991253
1.4000000000002544        1.9999999999999996       25.79999857280319        25.8001626887808         25.800000915710314       25.79999999946091        25.79999999943317        25.799999999669012       25.79999999973296
